No.;Company;Project;Location;"Status (2022)  1: Crushing roughing: Operate mineral concentration; 3: mixed REO; 4:Operate seprated REO; 5 Metal; T Trial production; P Pre-feasibility study; PT Project terminated";Capacity;Yield;Upstream;Downstream;Status Ref.;Capacity Ref.;Yield Ref.;Upstream Ref.;Downstream Ref.
55;;"OJSC ""Solikamsk Magnesium Plant""";Perm region, Russia;3;;2700t/y (REO);Karnasurt plant;Silmet plant;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).
56;Apatit JSC (PhosAgro PJSC);PJSC PhosAgro Cherepovets (pilot production);Cherepovets, Vologda region;T;;;;;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;;;;
57;;Oriental Plant;;;;;Koashvinskoe;;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;;;;
58;;Kirovsky Plant;;;;;Kukisvumchorr, Yuksporskoe;;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;;;;
59;PJSC Acron ;PJSC Acron Veliky Novgorod (industrial site);;;;;Deer Creek, Partomchorrskoye;;;;;;
60;LIT LLC;Rare Earth Refinery;Solikamsk city (Perm region), Russia;P, 4(?);processing concentration 1000t/y;;JSC Solikamsk;;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;On the state and use of mineral and raw resources of the Russian federation in 2020, 2021 (in Russion).;
61;Frontier Rare Earths Ltd.;Zandkopsdrift Plant;Northern cape ,South Africa;P, 1(?);;;Zandkopsdrift项目;Saldanha Rare Earth Separation Plant;;;;;
62;;Saldanha Rare Earth Separation Plant;Saldanha, South Africa;P, 3(?);;;Zandkopsdrift plant;South Korea;;;;;https://frontierrareearths.com/chinese/
63;Hochschild Mining;REE refine Factory;Biobio, Chile;P, 3(2023);;;;;http://biolantanidos.com/proyecto.html;;;;
64;Search minerals Inc.;Primary Production Plant;Southeastern Labrador, Canada;P, 1(?);;;;;;;;;
65;;Hydrometallurgical Processing Plant;Island of Newfoundland;P, 3(?);;;;;;;;;
66;;Rare Earth Separation Processing;Island of Newfoundland;P, 4(?);;;;;;;;;
67;SOQUEM;Kwyjibo concentrator factore;Lake Manitou, Québec, Canada;P, 1(?);;;;;;;;;
